sensor_type,device_type,timestamps,cid,lac,mcc,mnc
GPS,smartphone,1528010811465000000,52.3343962,4.8672478,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3343908,4.8672711,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3343916,4.8672707,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343916,4.8672707,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.334393,4.8672736,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343939,4.8672749,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3343964,4.8672784,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3343998,4.867285,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.334402,4.8672892,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3344034,4.867292,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3344015,4.8672871,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3343977,4.8672764,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3344065,4.8672977,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3344066,4.8672979,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343979,4.8672761,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3344211,4.8673273,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3344099,4.8673559,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3344065,4.8672987,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343942,4.8672815,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3344007,4.8672843,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3343897,4.8672675,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343978,4.8672756,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3343941,4.8672812,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3344064,4.8672979,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343897,4.8672666,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343977,4.8672757,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343999,4.8672821,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3344212,4.8673272,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343908,4.8672693,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343915,4.8672699,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.3343913,4.8672698,0.0,69.5999984741
GPS,smartphone,1528010811466000000,52.3343902,4.8672679,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3343991,4.8672802,0.0,69.1999969482
GPS,smartphone,1528010811465000000,52.334392,4.8672715,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3344088,4.867277,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3344153,4.8672793,0.0,69.5999984741
GPS,smartphone,1528010811466000000,52.3344212,4.8673127,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344315,4.867332,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344459,4.8673137,0.0,0.0
GPS,smartphone,1528010811465000000,52.334453,4.8672383,0.0,69.3000030518
GPS,smartphone,1528010811465000000,52.3344532,4.8672345,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344801,4.8672075,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344622,4.8670754,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344384,4.8669887,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344332,4.8669954,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344559,4.8670029,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344593,4.8669947,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344672,4.8669838,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344291,4.8668989,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344229,4.8668672,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344088,4.8668699,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344111,4.86688,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344335,4.8668582,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344348,4.8668749,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344595,4.8669025,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344487,4.8668476,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344528,4.8668508,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344587,4.8668556,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344665,4.8668618,0.0,0.0
GPS,smartphone,1528010811466000000,52.3345052,4.8667936,0.0,0.0
GPS,smartphone,1528010811465000000,52.33447,4.8670967,0.0,69.3000030518
GPS,smartphone,1528010811465000000,52.3344618,4.8671322,0.0,0.0
GPS,smartphone,1528010811465000000,52.3344356,4.8671478,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344228,4.8672227,0.0,0.0
GPS,smartphone,1528010811466000000,52.3344189,4.8672544,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3344163,4.867264,0.0,69.5999984741
GPS,smartphone,1528010811465000000,52.3344095,4.8672719,0.0,69.1999969482
GPS,smartphone,1528010811466000000,52.3343998,4.8672732,0.0,69.5999984741
